Game,MoveNum,AI,Column,Time,Nodes,Winner
7,21,0,1,0.0052,30,2
7,22,1,6,0.136986,797,2
7,23,0,5,0.006138,36,2
7,24,1,0,0.080664,355,2
7,25,0,6,0.012228,41,2
7,26,1,3,0.088975,381,2
7,27,0,1,0.006563,22,2
7,28,1,5,0.027479,173,2
7,29,0,6,0.0,16,2
7,30,1,0,0.0,36,2
7,31,0,2,0.0,7,2
7,32,1,2,0.016097,20,2
7,33,0,4,0.0,7,2
7,34,1,4,0.0,24,2
7,35,0,2,0.0,7,2
7,36,1,2,0.0,7,2
8,1,0,3,0.0,27,2
8,2,1,1,0.142393,797,2
8,3,0,3,0.00756,50,2
8,4,1,3,0.158001,978,2
8,5,0,1,0.006034,40,2
8,6,1,5,0.149376,962,2
8,7,0,3,0.0,34,2
8,8,1,0,0.062576,397,2
8,9,0,5,0.018843,33,2
8,10,1,6,0.146142,865,2
8,11,0,1,0.003572,27,2
8,12,1,0,0.046341,329,2
8,13,0,0,0.0,21,2
8,14,1,1,0.066399,386,2
8,15,0,5,0.0,34,2
8,16,1,6,0.156162,908,2
8,17,0,6,0.018182,51,2
8,18,1,5,0.142838,736,2
8,19,0,3,0.006013,27,2
8,20,1,0,0.070757,368,2
8,21,0,1,0.005202,30,2
8,22,1,6,0.129672,797,2
8,23,0,5,0.0,36,2
8,24,1,0,0.072118,355,2
8,25,0,6,0.007354,41,2
8,26,1,3,0.06294,381,2
8,27,0,1,0.002002,22,2
8,28,1,5,0.027723,173,2
8,29,0,6,0.002002,16,2
8,30,1,0,0.006005,36,2
8,31,0,2,0.0,7,2
8,32,1,2,0.002001,20,2
8,33,0,4,0.002002,7,2
8,34,1,4,0.003479,24,2
8,35,0,2,0.0,7,2
8,36,1,2,0.002001,7,2
9,1,0,3,0.004003,27,2
9,2,1,1,0.127313,797,2
9,3,0,3,0.007731,50,2
9,4,1,3,0.156749,978,2
9,5,0,1,0.007338,40,2
9,6,1,5,0.157197,962,2
9,7,0,3,0.0,34,2
9,8,1,0,0.061979,397,2
9,9,0,5,0.0,33,2
9,10,1,6,0.152874,865,2
9,11,0,1,0.0,27,2
9,12,1,0,0.05847,329,2
9,13,0,0,0.003143,21,2
9,14,1,1,0.051263,386,2
9,15,0,5,0.015665,34,2
9,16,1,6,0.151479,908,2
9,17,0,6,0.007477,51,2
9,18,1,5,0.121989,736,2
9,19,0,3,0.0,27,2
9,20,1,0,0.064678,368,2
9,21,0,1,0.005235,30,2
9,22,1,6,0.151724,797,2
9,23,0,5,0.006099,36,2
9,24,1,0,0.063812,355,2
9,25,0,6,0.007478,41,2
9,26,1,3,0.060851,381,2
9,27,0,1,0.0,22,2
9,28,1,5,0.031619,173,2
9,29,0,6,0.0,16,2
9,30,1,0,0.010193,36,2
9,31,0,2,0.0,7,2
9,32,1,2,0.002002,20,2
9,33,0,4,0.00174,7,2
9,34,1,4,0.008006,24,2
9,35,0,2,0.002001,7,2
9,36,1,2,0.002001,7,2
10,1,0,3,0.010139,27,2
10,2,1,1,0.132967,797,2
10,3,0,3,0.008416,50,2
10,4,1,3,0.182277,978,2
10,5,0,1,0.015645,40,2
10,6,1,5,0.154555,962,2
10,7,0,3,0.015699,34,2
10,8,1,0,0.061668,397,2
10,9,0,5,0.0,33,2
10,10,1,6,0.141836,865,2
10,11,0,1,0.01898,27,2
10,12,1,0,0.043017,329,2
10,13,0,0,0.0,21,2
10,14,1,1,0.07419,386,2
10,15,0,5,0.0,34,2
10,16,1,6,0.159959,908,2
10,17,0,6,0.015828,51,2
10,18,1,5,0.121295,736,2
10,19,0,3,0.0,27,2
10,20,1,0,0.063633,368,2
10,21,0,1,0.0,30,2
10,22,1,6,0.145061,797,2
10,23,0,5,0.00629,36,2
10,24,1,0,0.060086,355,2
10,25,0,6,0.009618,41,2
10,26,1,3,0.069531,381,2
10,27,0,1,0.003505,22,2
10,28,1,5,0.018111,173,2
10,29,0,6,0.0,16,2
10,30,1,0,0.015776,36,2
10,31,0,2,0.0,7,2
10,32,1,2,0.0,20,2
10,33,0,4,0.0,7,2
10,34,1,4,0.0,24,2
10,35,0,2,0.0,7,2
10,36,1,2,0.0,7,2
